"Lemma
（見出し語）","Japanese
(Short)","Commentary
(解説)"
affluence,豊かさ,豊富. 裕福さ
affluent,裕福な,豊富な. よどみなく流れる. 裕福な. 流れ込む
afford,与える,余裕がある. 与える
affordability,値ごろ感,値ごろ感 
affordable,手頃な価格の,手頃な価格の 
affront,侮辱,侮辱する. 直面する. に敢然と立ち向かう. 侮辱
Affymetrix,アフィメトリクス,アフィリックス社. DNAチップを開発した会社
Afghan,アフガニスタンの,アフガニスタンの 
Afghanistan,アフガニスタン,アフガニスタン イスラム国 Islamic State of Afghanistan. ペルシア語･ダリー語で「アフガン人(パシュトゥーン人)の国」の意
aficionado,愛好家,熱烈な愛好者
afield,道に迷って,家を離れて. 戦場に(へ). 常軌を離れて
afire,燃えて,(叙述的)燃えて
aflame,燃えて,燃えて
afloat,海上に,に浮かんで. 海上に. 浸水して. (うわさなどが)流布して. 借金しないで. 破産しないで
afoot,進行中の,徒歩で. 進行中で. 起こって. 計画中で
aforementioned,前述の,前述の
aforesaid,前述の,前述の
aforethought,故意,(名詞の後で)あらかじめ考えた. 計画的な. 故意の
afoul,抵触,からまって. 衝突して
afraid,恐れて,心配して. 怖がって
afresh,新たに,新たに. 更に. 再び
Africa,アフリカ,アフリカ
African,アフリカの,アフリカの
Africana,アフリカーナ,"アフリカーナ,アフリカの "
Afrikaans,アフリカーンス語,アフリカーンス語. 南アフリカ共和国全土に普及している公用語の一つ. オランダ語から派生. イギリスの植民地になって以来英語の影響を大きく受けている
afro,アフロ,アフロヘア(和製英語)
aft,アフト,船尾に. 後部に. 尾翼の方に
after,後に,後に. (後). 
aftereffect,後遺症,後遺症. 残効
afterglow,残光,夕焼け. 夕映え. (成功後の)楽しい快感
afterlife,死後の世界,晩年. 来世
aftermath,余波,余波. 結果 (the aftermath of war戦争の余波)
afternoon,午後,午後
aftershock,余震,余震
aftertaste,後味,後味. 余韻
afterthought,結果論,あと知恵. あとからの思いつき. 結果論
afterward,その後,あとで. 後に
afterword,後書き,あとがき
ag,株式会社,(ドイツ語)株式会社 
aga,AGA,男性型脱毛症 (androgenetic alopecia)他
again,再び,再び. また. もう一度
against,に対して,に対する. に対して
Agamemnon,アガメムノン,"(ギリシア神話)アガメムノーン(Mycenaeミケーネの王で,トロイア戦争でギリシア軍の総大将としてトロイアと戦った)"
agape,口を開けて,(あんぐり)口をあけて. ぽかんとして. 唖然として
agar,寒天,テングサ. 寒天(培養基)
agarose,アガロース,アガロース. ゲル化しやすい中性多糖で寒天の主要な成分
agate,めのう(瑪瑙),めのう(瑪瑙)
agave,リュウゼツラン,リュウゼツラン
age,年齢,年齢
aged,老いた,老いた
agency,代理店,代理店. 機関. 媒体. 作用
agenda,アジェンダ,議題. 予定表. 会議事項. 計画表. 議事日程. 備忘録
agent,代理人,代理人. 代理店. 行為の主体. 媒介. 外交員. スパイ
agglomeration,凝集,固まり. 固まりになること. 凝集作用
aggrandizement,誇張,大きく見せること. 誇張すること
aggravate,悪化させる,悪化させる. 怒らせる. 悩ませる
aggravating,困った,一層悪化させる. 困った. 癪に障る. 腹が立つ
aggravation,悪化,悪化. 重大化
aggregate,集計,集まった. 骨材. 集合. 集める. 統合する. 総計～となる
aggregated,集約,集約された 
aggregation,アグリゲーション,集合体
aggression,侵略,攻撃. 侵略
aggressive,攻撃的な,積極的な. 攻撃的な. 迫力たっぷりの
aggressively,積極的に,積極的に 
aggressiveness,攻撃性,侵略的なこと. 積極性
aggressor,侵略者,侵略者
aggrieved,権利を侵害された,苦悩に満ちた. 立腹した. 権利を侵された
aghast,びっくりして,びっくりした. びっくりして
agile,機敏な,機敏な. 頭の回転の早い. 活気のある. 身の軽い. 鋭敏な
agility,アジリティ,機敏さ
aging,老化,高齢化. 時効. 熟成. 年(age)をとること. 老化
agitate,かき混ぜる,扇動する. 激しく動かす. かきたてる
agitation,攪拌,動揺
agitator,アジテーター,扇動者. かきまぜ機
agitprop,agitprop,アジテーションとプロパガンダ. アジ宣伝の
aglow,輝いて,燃え立つように照り輝いて. 情熱に燃えて. 輝いて
agnostic,不可知論者,不可知論の. 独断的な意見にとらわれない. 寛容な
agnosticism,不可知論,不可知論(感覚的に経験する以上の事は知ることができないという主張)
ago,前に,前に
agog,うずうずして,(期待･興奮で)わくわくして. ～したくてうずうずして
agonist,作動薬,"アゴニスト(作動薬). Autoradiography(放射線写真法)でリガンドの代わりに使う薬物. 生体内の特定のreceptor(受容体)に働く. (cf. ligand,antagonist拮抗薬)"
agonize,アゴナイズ,苦しむ. 悶える. 苦闘する. 苦しめる
agonized,苦悶,苦悩を表す 
agonizing,苦しい　,苦しみもだえる. ひどく苦しめる
agony,苦痛,苦痛. 煩悶
Agora,広場,古代ギリシャの集会場. 広場
Agra,アグラ,"アーグラ. インドのガンジス川最大の支流のヤムナー川沿いの大都市. 世界遺産のタージ･マハル廟,アーグラ城塞で知られる"
agrarian,農業の,土地の. 農業の. 農地の. 野生の. 農民の. 農村生活の
agree,同意する,同意する. 賛成する
agreeable,快い　,好ましい. 矛盾のない
agreeably,快く,快く
agreement,合意,"同意. 意見の一致. 協定. 条約. (文法)一致,呼応"
agribusiness,アグリビジネス,農業関連産業
agricultural,農業の,農業の
agriculture,農業,農業. 農業の. 農学
Agringado,英西辞書,(スペイン語)英語-スペイン語辞書 
agrobacterium,土壌細菌,土壌細菌. アグロバクテリウム. グラム陰性菌に属し植物に病原性を持つものの総称. 植物細胞に感染しDNAを送り込む(形質転換)性質があり植物のバイオテクノロジーで利用される
aground,座礁して,座礁して
ah,ああ!,ああ!
aha,なるほど,ほほう(軽蔑･皮肉･驚きなど)
ahead,前もって,前もって. 前方に
ahem,エヘン,ふむ. えへん
ahh,ああ,ああ 
Ahmed,アーメド,アーメド (人名)
ahoy,おーい!,おーい!
AI,人工知能,Artificial Intelligence. 人工知能
AIC,AIC,Action Information Center (作戦情報センター)
AICPA,AICPA,American Institute of CPAs(アメリカ公認会計士協会)
aid,援助,支援. 補佐. 助手. 応援する. 助ける. assistance
aide,側近,(大統領などの)補佐官. 側近. スタッフ
AIDS,エイズ,Acquired immune deficiency syndrome(後天性免疫不全症候群)
ail,エイル,苦しめる. 病む. 悩ます
ailing,病んでいる,病気で苦しんでいる. 不調の
ailment,病気,(軽い)病気. 不快
aim,狙い,をねらう. めざす. 目的. 意図. purpose
AIMD,AIMD,Active Implantable Medical Device(能動埋込型医療機器)
Aimee,エイミー,エイミー(人名)
aimless,漫然,目的のない
air,空気,空気. 態度
airborne,空中,空輸の. 空挺の. 空輸された. 空気電送. 空中の
airbus,エアバス,エアバス
aircraft,航空機,航空機. 飛行機
Aire,アイレ,免疫に関する遺伝子　他
Aires,ブエノスアイレス,"Buenos Aires. ブエノスアイレス. アルゼンチンの首都. ラ･プラタ川Río de la Plata(銀の川)に面し,都市圏人口1,300万人. スペイン語でbuenos良いaires空気の意"
airfare,航空運賃,航空運賃
airfield,飛行場,飛行場
airhead,変人,変人 
airing,放送,空気で乾かすこと. 外出. 散歩
airless,風通しの悪い　,風通しの悪い. 風のない
airlift,空輸,空輸(する)
airline,航空会社,航空会社. (定期)航空路. (2地点をつなぐ)直線
airliner,旅客機,大型旅客機. 定期旅客機
airlock,エアロック,エアロック. 圧力容器内の気圧低下を防ぎ人間や物体を圧力容器の内外に通過させる装置. 日本語で気閘(きこう)と言う 
airman,飛行士,パイロット. 飛行士(家). 空軍要員(兵)
airplane,飛行機,飛行機
airport,空港,空港
airship,飛行船,飛行船. ツェッペリンが開発した硬式飛行船(外殻の支持構造を持つ)とガス圧で外形を維持する軟式飛行船がある
airspace,領空,領空
airstrike,空爆,空爆. 空からの攻撃. 2. 航空ストライキ
airstrip,滑走路,臨時滑走路. 仮設滑走路
airtight,気密の,密閉した
airtime,放送時間,放送時間 
airwave,放送電波,放送電波 
airway,気道,風道. 航空路. 航空会社
airy,風通しの良い　,空気のような. 軽快な. 大気の
aisle,通路,(汽車などの)座席間の通路. (教会の)側廊. 細長い通路
ajar,少し開いて,半開きの. ドアが半開きの
AK,AK,Alaska アラスカ州
AKA,AKA,aka. a. k. a. also known asの略で別名の意味 
Akbar,アクバル,"Akbar the Great,アクバル大帝. 祖父バーブルの立てたインドのムガル朝を大帝国に発展させた第3代君主(16C). マウリヤ朝のアショーカ王(BC3C)に並び称される"
akimbo,両手を腰に当てて,"両手を腰に当て,肘を張って(with one's arms akimbo)"
akin,同族の,血族の. 血族で. 似通って. 類似して
AL,アラバマ州,Alabamaアラバマ州
ala,翼,悲しいかな. 2. ALA(American Library Assoc. 米国図書館協会). 3. (鳥･コウモリ･昆虫の)翼
Alabama,アラバマ州,"アラバマ州,AL"
alabaster,アラバスター,雪花石膏. 白くなめらかな
alacrity,乗り気,活発. 敏活. 敏活さ. 機敏さ. 積極性. 乗り気. 機敏
Alamo,アラモ,アラモ. 1836年のテキサス･メキシコの戦場　2. 商品名ほか 
Alan,アラン,アラン(人名)
alanine,アラニン,アラニン. 非必須アミノ酸のひとつ. グリシンについで2番目に小さなアミノ酸でほとんどすべての蛋白質に見られる
alarm,アラーム,をぎょっとさせる. おびえさせる. 警告. 驚き. 不安
alarming,憂慮すべき,驚くべき. 不安にさせる
alarmingly,驚くほどに,驚くほどに 
alarmist,人騒がせ,心配症の人. 人騒がせな人
Alaska,アラスカ州,"アラスカ州,AK"
Alaskan,アラスカの,アラスカの 
Alba,アルバ,アルバ(カリブ海の島の名). 商品名他 
Albania,アルバニア,アルバニア共和国 Republic of Albania
Albany,アルバニー,アルバニー. NY州の州都. 
albatross,アホウドリ,執拗な心配のもと. アホウドリ(航海中にこの鳥が飛ぶと嵐の前兆とされた). 2. アルバトロス(parより3打少ない. ゴルフ用語)
albeit,とはいえ,(ɔːlbíːɪt)にもかかわらず. =although
Albert,アルバート,アルバート(人名)
Alberta,アルバータ州,アルバータ州 
Albican,アルビカン,Candida albicansカンジダ･アルビカンス. カビの一種のカンジダ菌の感染により発症する疾患. 口腔･腟などに常時存在し健康な場合発症しない
albinism,先天性白色症.白子,先天性白色症. 白子
albino,アルビノ,"白子, 先天性色素欠乏症"
Albright,オルブライト,オルブライト(人名)
album,アルバム,アルバム
albumin,アルブミン,"(ælbjúːmən)アルブミン. 可溶性たんぱく質の総称. 血清アルブミン,卵アルブミン,乳アルブミンがある. グロブリンと共に2種の血漿タンパクの1つ. アルブミン濃度は肝機能の指標. "
Albuquerque,アルバカーキ,アルバカーキ. ニューメキシコ州最大の商工業都市
Alcatel,アルカテル,アルカテル. 通信機器会社名 
Alcatraz,アルカトラズ,アルカトラズ. サンフランシスコ湾にある刑務所島. アルカポネの収監で知られる
alchemist,錬金術師,錬金術師
alchemy,錬金術,錬金術
Alcoa,アルコア,アルコア社. アルミニウム製品の世界的なメーカー. 社名は「Aluminum Company of America」から. 1886年アンドリュー･メロンが創業. 本社ニューヨーク
alcohol,アルコール,アルコール
alcoholic,アルコール性の,アルコール中毒. アルコールの
alcoholism,アルコール依存症,アルコール中毒
Aldebaran,アルデバラン,アルデバラン. おうし座のα星. 全天21の1等星の1つ. 冬のダイヤモンドを形成する恒星の1つ
aldehyde,アルデヒド,アルデヒド. カルボニル炭素に水素原子が一つ置換した構造を持つ有機化合物. 一般式はR-CHOで表される
